id,Reference,lat,long,rfrog,rprey,size,nmodulos,nlink,com,NODF,mod,h2,dNODF,dmod,dh2,zNODF,zmod,zh2,NODFsig,modsig,h2sig,complete,intens,region
34,17,-21.7323,-43.370233,3,16,19,3,1.368421,0.5416667,25.29359,0.3686128,0.4879358,-20.22712,0.2636529,0.4244318,-3.883682,13.14929,0.4244318,10,0,0,85.30464,1.2,Tropical
42,23,-21.6645,-57.717886,12,17,29,4,2.103448,0.2990196,40.23574,0.270597,0.3855577,-27.78567,0.2272937,0.3600873,-6.995262,41.25399,70.41257,10,0,0,52.00917,1.420094,Tropical
46,26,-21.4099,-48.350882,7,10,17,2,2.058824,0.5,54.4733,0.2929397,0.5464056,-17.62626,0.2787306,0.5391851,-3.546746,61.09259,196.0333,10,0,0,77.56748,2.973214,Tropical
39,20,-20.7500,-40.950089,3,15,18,2,1.611111,0.6444444,39.88095,0.136174,0.2084081,-5.325892,0.1013768,0.1903079,-0.9744621,12.25824,35.82578,8.31,0,0,91.86518,2.228602,Tropical
41,22,-20.5769,-49.316667,3,20,23,2,1.608696,0.6166667,54.62003,0.1728126,0.501919,-0.9132532,0.1646681,0.4952173,-0.2023937,68.83349,192.2504,5.73,0,0,81.62185,4.645428,Tropical
27,15,-20.0272,-56.602356,4,11,15,2,2.133333,0.7272727,41.24707,0.2534718,0.3465663,-18.34415,0.2328898,0.3399034,-2.641057,39.18997,161.4218,9.98,0,0,100,3.397793,Tropical
30,16,-18.9167,-48.3,4,26,30,4,2.5,0.7211538,47.04599,0.1775813,0.1308249,-0.318647,0.1280154,0.1165836,-0.07381068,20.90871,44.03545,5.53,0,0,92.31224,2.846928,Tropical
13,6,-16.2306,-48.080278,3,14,17,2,1.470588,0.5952381,42.13948,0.1075986,0.3573764,-14.56493,0.08919137,0.3543538,-3.261607,17.75538,61.17133,10,0,0,80.01792,2.488641,Tropical
45,25,-15.4867,-47.689242,5,17,22,3,2.045455,0.5294118,40.87845,0.07311019,0.1821788,-25.9681,0.133042,0.1765181,-5.689387,28.12228,107.4301,10,0,0,86.30279,5.463332,Tropical
37,18,-14.7988,-52.642033,4,15,19,4,1.842105,0.5833333,50.01001,0.3132928,0.2768232,-2.186719,0.2343584,0.2415238,-0.3597215,19.60671,29.67509,6.51,0,0,98.59433,1.447411,Tropical
